Time,Addr,Jitter,Jitter_magnitude,transferred,transferred_magnitude,time,lost_packets,total_packets
1582950682,::ffff:209.141.36.43,0.054,ms,11.9,MBytes,10.0,0,8505
1582954281,::ffff:209.141.36.43,0.081,ms,11.9,MBytes,10.0,0,8505
1582957882,::ffff:209.141.36.43,0.070,ms,11.9,MBytes,10.0,0,8505
1582961482,::ffff:209.141.36.43,0.045,ms,11.9,MBytes,10.0,0,8505
1582965082,::ffff:209.141.36.43,0.033,ms,11.9,MBytes,10.0,0,8505
1582968682,::ffff:209.141.36.43,0.097,ms,11.9,MBytes,10.0,0,8505
1582972282,::ffff:209.141.36.43,0.168,ms,11.9,MBytes,10.0,0,8505
1582975882,::ffff:209.141.36.43,0.102,ms,11.9,MBytes,10.0,0,8505
1582979482,::ffff:209.141.36.43,0.060,ms,11.9,MBytes,10.0,0,8505
1582983082,::ffff:209.141.36.43,0.101,ms,11.9,MBytes,10.0,0,8505
1582986682,::ffff:209.141.36.43,0.088,ms,11.9,MBytes,10.0,0,8505
1582990282,::ffff:209.141.36.43,0.058,ms,11.9,MBytes,10.0,0,8505
1582993882,::ffff:209.141.36.43,0.147,ms,11.9,MBytes,10.0,0,8505
1582997482,::ffff:209.141.36.43,0.219,ms,11.9,MBytes,10.0,0,8505
1583001082,::ffff:209.141.36.43,0.117,ms,11.9,MBytes,10.0,0,8505
1583004681,::ffff:209.141.36.43,0.118,ms,11.9,MBytes,10.0,0,8505
1583008282,::ffff:209.141.36.43,0.048,ms,11.9,MBytes,10.0,0,8505
1583011881,::ffff:209.141.36.43,0.036,ms,11.9,MBytes,10.0,0,8505
1583015482,::ffff:209.141.36.43,0.070,ms,11.9,MBytes,10.0,0,8505
1583019082,::ffff:209.141.36.43,0.059,ms,11.9,MBytes,10.0,0,8505
1583022682,::ffff:209.141.36.43,0.071,ms,11.9,MBytes,10.0,0,8505
1583026282,::ffff:209.141.36.43,0.054,ms,11.9,MBytes,10.0,0,8505
1583029882,::ffff:209.141.36.43,0.060,ms,11.9,MBytes,10.0,0,8505
1583033482,::ffff:209.141.36.43,0.054,ms,11.9,MBytes,10.0,0,8505
1583037082,::ffff:209.141.36.43,0.079,ms,11.9,MBytes,10.0,0,8505
1583040681,::ffff:209.141.36.43,0.049,ms,11.9,MBytes,10.0,0,8505
1583044282,::ffff:209.141.36.43,0.072,ms,11.9,MBytes,10.0,0,8505
1583047881,::ffff:209.141.36.43,0.145,ms,11.9,MBytes,10.0,0,8505
1583051482,::ffff:209.141.36.43,0.067,ms,11.9,MBytes,10.0,0,8505
1583055082,::ffff:209.141.36.43,0.040,ms,11.9,MBytes,10.0,0,8505
1583058681,::ffff:209.141.36.43,0.049,ms,11.9,MBytes,10.0,0,8505
1583062282,::ffff:209.141.36.43,0.041,ms,11.9,MBytes,10.0,0,8505
1583065882,::ffff:209.141.36.43,0.100,ms,11.9,MBytes,10.0,0,8505
1583069481,::ffff:209.141.36.43,0.106,ms,11.9,MBytes,10.0,0,8505
1583073082,::ffff:209.141.36.43,0.207,ms,11.9,MBytes,10.0,0,8505
1583076682,::ffff:209.141.36.43,0.077,ms,11.9,MBytes,10.0,0,8505
1583080282,::ffff:209.141.36.43,0.073,ms,11.9,MBytes,10.0,0,8505
1583083882,::ffff:209.141.36.43,0.086,ms,11.9,MBytes,10.0,0,8505
1583087482,::ffff:209.141.36.43,0.075,ms,11.9,MBytes,10.0,0,8505
1583091082,::ffff:209.141.36.43,0.041,ms,11.9,MBytes,10.0,0,8505
1583094682,::ffff:209.141.36.43,0.057,ms,11.9,MBytes,10.0,0,8505
1583098282,::ffff:209.141.36.43,0.086,ms,11.9,MBytes,10.0,0,8505
1583101882,::ffff:209.141.36.43,0.143,ms,11.9,MBytes,10.0,0,8505
1583105482,::ffff:209.141.36.43,0.090,ms,11.9,MBytes,10.0,0,8505
1583109082,::ffff:209.141.36.43,0.054,ms,11.9,MBytes,10.0,0,8505
1583112682,::ffff:209.141.36.43,0.062,ms,11.9,MBytes,10.0,0,8505
1583116282,::ffff:209.141.36.43,0.074,ms,11.9,MBytes,10.0,0,8505
1583119882,::ffff:209.141.36.43,0.046,ms,11.9,MBytes,10.0,0,8505
1583123482,::ffff:209.141.36.43,0.078,ms,11.9,MBytes,10.0,0,8505
1583127082,::ffff:209.141.36.43,0.078,ms,11.9,MBytes,10.0,0,8505
1583130682,::ffff:209.141.36.43,0.065,ms,11.9,MBytes,10.0,0,8505
